Join_Count,TARGET_FID,id,foreign_id,lat,lng,description,river,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng,county_fips,county_name
1,72,1019,OTTERCR01,42.0714,-91.7257,Otter Creek at Tower Terrace Rd at Hiawatha (OTTERCR01),Otter Creek,Hiawatha,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0.0,1546778.49,6259.6,IA,7080205.0,Middle Cedar,5.82086975405,19113,Linn County
1,73,1820,ROCKCR02,43.284056,-92.926655,Rock Creek at HWY9 (ROCKCR02),Rock Creek,Osage,t,{6AE5D8A8-3316-49A6-B484-84B00A70076D}, , , , ,6/11/2012 0:00:00,0.0,1078114.47,4362.98,"IA,MN",7080201.0,Upper Cedar,5.43039032996,19131,Mitchell County
1,74,11873,TKYRV04,43.14713,-91.930372,Turkey River at Ft. Atkinson (TKYRV04),Turkey River,Ft. Atkinson,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00:00,0.0,1084109.94,4387.24,IA,7060004.0,Turkey,4.59363228966,19191,Winneshiek County
1,75,11853,NRCCNRV01,41.688393,-94.035011,North Raccoon River at Adel (NRCCNRV01),North Raccoon River,Adel,t,{642334D3-7EFA-4E7E-9500-F5A9E8FBF717}, , , , ,6/11/2012 0:00:00,0.0,1581359.74,6399.54,IA,7100006.0,North Raccoon,7.63352986486,19049,Dallas County
1,76,1738,CEDARRV06,43.355409,-92.925178,Cedar River at St Ansgar (CEDARRV06),Cedar River,St. Ansgar,t,{6AE5D8A8-3316-49A6-B484-84B00A70076D}, , , , ,6/11/2012 0:00:00,0.0,1078114.47,4362.98,"IA,MN",7080201.0,Upper Cedar,5.43039032996,19131,Mitchell County
1,77,721,EFDSMNS01,42.951322,-94.2335,East Fork Des Moines River at 130th St at Algona (EFDSMNS01),East Fork Des Moines River,Algona,t,{63F1F400-191B-46E4-A94D-466816F8926C}, , , , ,12/22/2016 0:00:00,0.0,836600.37,3385.6,"IA,MN",7100003.0,East Fork Des Moines,6.33050079526,19109,Kossuth County
1,78,1003,DEEPCRK01,41.9622,-90.4685,Deep Creek at Broadway St at Charlotte (DEEPCRK01),Deep Creek,Charlotte,t,{54F3C0AD-2A15-441C-BD3B-1373FB7DBC85}, , , , ,6/11/2012 0:00:00,0.0,1196986.08,4844.04,IA,7060006.0,Maquoketa,5.43151936743,19045,Clinton County
1,79,250502,FLDCRK2505,42.86189,-92.698838,Flood Creek near Packard (FLDCRK2505),Flood Creek,Packard,t,{D911D322-0667-4C87-9505-EC11E48345D3}, , , , ,6/11/2012 0:00:00,0.0,691348.09,2797.79,"IA,MN",7080202.0,Shell Rock,5.47060778398,19023,Butler County
1,80,1909,CEDARRV02,41.845057,-91.390158,Cedar River at Sutliff (CEDARRV02) ,Cedar River,Sutliff,t,{65F2CD30-B70F-474A-8E7D-FFABDB288751}, , , , ,6/11/2012 0:00:00,0.0,703253.72,2845.97,IA,7080206.0,Lower Cedar,4.56838127734,19103,Johnson County
1,81,11848,MUDCR02,42.101208,-92.066368,Mud Creek at Vinton (MUDCR02),Mud Creek,Vinton,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0.0,1546778.49,6259.6,IA,7080205.0,Middle Cedar,5.82086975405,19011,Benton County
